X,Y,id,type,s2_0,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9
512332.872575469,6225421.11570112,1,eau stag,343.000000000000000,166.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,16.000000000000000
513816.147558623,6224369.91077444,2,riviere,511.000000000000000,637.000000000000000,554.000000000000000,579.000000000000000,424.000000000000000,421.000000000000000,281.000000000000000,322.000000000000000,446.000000000000000,344.000000000000000
506762.14864041,6230948.63263053,3,feuillus,154.000000000000000,320.000000000000000,160.000000000000000,632.000000000000000,3129.000000000000000,4092.000000000000000,4495.000000000000000,4203.000000000000000,1740.000000000000000,627.000000000000000
507202.495901034,6231011.87047021,4,conifere,151.000000000000000,269.000000000000000,133.000000000000000,443.000000000000000,1699.000000000000000,2069.000000000000000,2321.000000000000000,2110.000000000000000,1095.000000000000000,500.000000000000000
514314.269704245,6224294.75376074,5,route,799.000000000000000,1011.000000000000000,1074.000000000000000,1241.000000000000000,1958.000000000000000,2543.000000000000000,2585.000000000000000,1938.000000000000000,1936.000000000000000,1169.000000000000000
514667.209689079,6225903.84224694,6,bati,731.000000000000000,1036.000000000000000,2009.000000000000000,1756.000000000000000,1950.000000000000000,1948.000000000000000,1960.000000000000000,2088.000000000000000,3567.000000000000000,3312.000000000000000
512018.504361999,6225566.29786182,7,chantier,1768.000000000000000,2166.000000000000000,2356.000000000000000,2177.000000000000000,2238.000000000000000,2215.000000000000000,2154.000000000000000,2247.000000000000000,2127.000000000000000,1800.000000000000000
509061.887040645,6226246.51849863,8,sol agricole nu,535.000000000000000,769.000000000000000,1125.000000000000000,1273.000000000000000,1392.000000000000000,1534.000000000000000,1841.000000000000000,1654.000000000000000,1968.000000000000000,1245.000000000000000
507954.893758009,6229507.57138852,9,sol agricole couvert,183.000000000000000,508.000000000000000,140.000000000000000,914.000000000000000,4333.000000000000000,5481.000000000000000,5774.000000000000000,5577.000000000000000,1921.000000000000000,776.000000000000000
